,nivel,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Total,100.0,100.0,100.00000000000732,100.00000000000732,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0
1,Sin nivel/inicial ,5.373753935060656,5.11591854737281,5.115406252620979,4.887092646756476,4.43229346176818,4.367612823891481,4.3396005877713595,4.12460672757118,4.2028682681177605,4.049195353343733,3.769399205288103,3.7461966881300106,3.4007251917107055,3.4884930067705167,3.451028235087755
2,Primaria,24.050454684096998,23.65981711788791,22.97975810747115,22.844628473853664,21.890272060674423,22.066118499799593,21.873710084021987,21.539259707204845,21.3282526570918,20.93245775923909,20.67326529905898,20.06339552437956,19.735662821474847,20.00706010855851,18.879545883584946
3,Secundaria,43.74759321480308,43.091593985717005,43.65215695354003,43.37507741886529,43.587935877473384,43.75992857900856,44.37612485490606,45.39464940895844,44.161815042313556,44.46312101053703,44.18165830591199,43.94308583186791,45.80695694063209,46.42479205809805,46.78361190342217
4,Superior no universitaria,12.886084167564652,13.430113881760704,13.672788584925783,14.007378053671289,13.778497911426467,13.458370725699483,12.928568420143915,12.535854062737814,13.616761547010356,13.499919100976957,13.783994072396233,14.410108261163145,14.330948265474897,14.076784367615186,14.460461671394894
5,Superior universitaria 1/,13.942113998479368,14.702556467262697,14.579890101449374,14.885823406849633,16.311000688660126,16.347969371599852,16.48199605316199,16.405630093536885,16.6903024854674,17.055306775905198,17.591683117344697,17.837213694465447,16.725706780707462,16.00287045895774,16.425352306510234
