"","PN38067GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 25 a 44 años"
May01,7.42214437397945
Jun01,7.54017992654776
Jul01,7.58155991835248
Ago01,7.76194983799591
Sep01,7.7143493654944
Oct01,7.87036242150182
Nov01,7.83204585423028
Dic01,7.43870656965514
Ene02,7.60713183817556
Feb02,8.09139961627952
Mar02,8.35946626510407
Abr02,8.34416386092033
May02,8.00673812795343
Jun02,7.98753977360484
Jul02,7.3509460764466
Ago02,6.76495162191058
Sep02,6.2945724224241
Oct02,6.06788293392804
Nov02,6.24266278529521
Dic02,6.34299533351583
Ene03,6.76971282498061
Feb03,7.30839337715859
Mar03,8.11413853619837
Abr03,8.1987168068513
May03,8.46079296461308
Jun03,7.8717523470536
Jul03,7.66201159185606
Ago03,7.5216533135406
Sep03,7.51636313132261
Oct03,7.53833215718372
Nov03,6.96481151396223
Dic03,7.19851428968981
Ene04,7.79513467062382
Feb04,8.13344765604428
Mar04,8.27269314658988
Abr04,8.15009094746839
May04,8.07616525218039
Jun04,7.68757196688951
Jul04,7.07526751879234
Ago04,7.09735803094084
Sep04,7.20579204607067
Oct04,7.32204233462834
Nov04,6.52360013039862
Dic04,6.17983257337124
Ene05,7.28381290216598
Feb05,8.5613119194498
Mar05,9.18072403528283
Abr05,8.309119794798
May05,7.98415468268775
Jun05,7.37908628760505
Jul05,6.83521460427401
Ago05,6.76455768424165
Sep05,6.96856454743567
Oct05,7.03490391907562
Nov05,6.59807383884757
Dic05,6.4136373484257
Ene06,6.89216131888132
Feb06,6.82437506738151
Mar06,6.92694990215737
Abr06,7.10555988285754
May06,7.55059309548903
Jun06,7.17972294762709
Jul06,6.56457043182399
Ago06,6.94048869016071
Sep06,7.06020688501779
Oct06,6.82099198020877
Nov06,5.98100964625641
Dic06,5.55350708404828
Ene07,7.04233091284771
Feb07,7.84268872842752
Mar07,7.84638873768913
Abr07,7.33497054970353
May07,6.75661631748126
Jun07,6.80202665351169
Jul07,6.26130375085202
Ago07,6.10821993441588
Sep07,6.09157039997119
Oct07,5.96501634911117
Nov07,5.93101539371847
Dic07,5.40191837663683
Ene08,5.64006157381109
Feb08,6.23515623127637
Mar08,6.47508003668413
Abr08,6.5736488533325
May08,6.36137954173823
Jun08,6.21568780390599
Jul08,6.04781205037822
Ago08,5.71070970426332
Sep08,5.81664125629747
Oct08,5.53684866155106
Nov08,5.75502936197942
Dic08,5.76968839143197
Ene09,6.61871460657942
Feb09,6.43538757084252
Mar09,6.91693762958415
Abr09,6.35980884913288
May09,6.56252508330269
Jun09,6.38093648276438
Jul09,6.20942584942248
Ago09,5.95775182358646
Sep09,5.56682728886635
Oct09,5.43524058312969
Nov09,5.07197857381989
Dic09,5.50770250124234
Ene10,5.96627221374675
Feb10,6.94548170276326
Mar10,6.7963586482105
Abr10,7.31576338400529
May10,6.31535947712418
Jun10,6.30549898167006
Jul10,5.42289576080278
Ago10,5.82017060528142
Sep10,5.7154504688137
Oct10,5.85694679906353
Nov10,5.766195929268
Dic10,5.18777719005574
Ene11,5.03688006846245
Feb11,4.72657991811585
Mar11,5.48458593592585
Abr11,5.74256632203254
May11,5.98646538261322
Jun11,5.64665219837634
Jul11,5.12902837420235
Ago11,5.27349228611501
Sep11,5.50330756356101
Oct11,5.55777051271828
Nov11,4.98962158709883
Dic11,4.65466656093886
Ene12,5.69498841019903
Feb12,6.08580380814654
Mar12,6.62868148623706
Abr12,6.27212345384401
May12,5.68244467196976
Jun12,4.8374935513314
Jul12,4.62582886011999
Ago12,5.17948717948718
Sep12,5.23658565222496
Oct12,4.73535416993875
Nov12,4.12334732629762
Dic12,4.04131647160474
Ene13,4.15527827292533
Feb13,4.40661788100541
Mar13,4.28463646110471
Abr13,3.99592172855967
May13,4.38876352034861
Jun13,4.48291853454939
Jul13,4.64428395820529
Ago13,4.07584753878567
Sep13,4.31103487707261
Oct13,3.94701581103327
Nov13,3.77084289429402
Dic13,3.62067637316077
Ene14,4.12989626877226
Feb14,4.76669893514037
Mar14,4.92687279357567
Abr14,4.58079913773193
May14,4.35633683887311
Jun14,4.27080158488266
Jul14,4.06158747013539
Ago14,4.1225015142338
Sep14,3.71423157096835
Oct14,4.0630776775946
Nov14,3.66809922340345
Dic14,3.65317397677303
Ene15,4.48561862730178
Feb15,4.95320703035837
Mar15,5.51127305852881
Abr15,5.20774581688287
May15,5.39977686872443
Jun15,4.95935565664852
Jul15,4.62062256809338
Ago15,4.49877750611247
Sep15,4.92016822360341
Oct15,4.52073545188857
Nov15,4.53247418906056
Dic15,4.21604960921733
Ene16,4.72417732247485
Feb16,4.7772469725586
Mar16,5.5050280981958
Abr16,5.42258924982643
May16,5.65954635542832
Jun16,5.08642518991523
Jul16,4.97088952759968
Ago16,4.79328498324927
Sep16,4.7478183700636
Oct16,4.47958322632718
Nov16,3.96372678075179
Dic16,3.98910081743869
Ene17,4.51776277157957
Feb17,4.95601173020528
Mar17,4.94428455464541
Abr17,4.65490741418429
May17,4.52152935156079
Jun17,5.07061735585323
Jul17,5.20208083233293
Ago17,4.85320333248445
Sep17,4.75637208626824
Oct17,4.55506158443262
Nov17,5.07243732438054
Dic17,4.7766757919434
Ene18,4.64833382483043
