"","PN38068GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 45 a más años"
Jul19,2.88285937907644
Ago19,2.77436461230033
Sep19,2.55810933644981
Oct19,2.48791040977348
Nov19,2.58805706350208
Dic19,2.72908118861121
Ene20,2.92167167167167
Feb20,3.3513312232359
Mar20,3.6344031460104
Abr20,4.2716049382716
May20,6.53179190751445
Jun20,7.5779313942872
Jul20,9.35324387044698
Ago20,9.11647915287889
Sep20,11.3
Oct20,10.7326526049042
Nov20,11.3
Dic20,9.25697865353037
Ene21,8.75725273242477
Feb21,8.82231119701781
Mar21,9.2156862745098
Abr21,8.56409188701507
May21,7.17450801511794
Jun21,6.64685049329624
Jul21,6.6268433824902
Ago21,6.77712719571448
Sep21,6.91870067902368
Oct21,6.7143114527656
Nov21,6.36390620362126
Dic21,5.5834564254062
Ene22,5.67971869598904
Feb22,5.34878277153557
Mar22,5.5844230000571
Abr22,5.42482584608633
May22,5.1432327326505
Jun22,5.35096866253224
Jul22,5.13915068189378
Ago22,6.02202911385399
Sep22,6.26618903279141
Oct22,5.93544857768052
Nov22,6.66239247742694
Dic22,5.61394243464483
Ene23,6.40221266390554
Feb23,5.30661511133407
Mar23,5.61971714192904
Abr23,5.35377608413501
May23,4.9327390749494
Jun23,4.78276112283953
Jul23,4.7
Ago23,5.16448989277663
Sep23,5.26758206912685
Oct23,4.81377030049596
Nov23,5.7111555682576
Dic23,5.40820165537999
Ene24,5.71695145006833
Feb24,5.47119450209586
Mar24,6.23733923776322
Abr24,6.71078385683662
